date,time,latitude,longitude,depth,mag,id,place,type
2023-01-27,20:38:18.248,60.2372,-138.2327,9.2,3.5,ak02318zn83a,"Southern Yukon Territory, Canada",earthquake
2023-01-27,20:25:27.038,10.7145,125.4476,69.238,5.4,us6000jjtj,"32 km ENE of Hingatungan, Philippines",earthquake
2023-01-27,18:55:57.550,51.5054,-175.733,32.5,3.9,ak02318yk2x4,"74 km ESE of Adak, Alaska",earthquake
2023-01-27,18:35:55.022,52.2487,-170.417,28.1,3.6,ak02318yfslg,"130 km SW of Nikolski, Alaska",earthquake
2023-01-27,18:18:41.778,62.979,-150.5749,95.6,2.5,ak02318yc4as,"54 km N of Petersville, Alaska",earthquake
2023-01-27,18:18:00.454,-2.8446,129.6184,20.664,4.7,us6000jjsz,"95 km NE of Amahai, Indonesia",earthquake
2023-01-27,17:09:00.233,56.4961,-152.1692,7.3,2.5,ak02318xokyu,"104 km SE of Old Harbor, Alaska",earthquake
2023-01-27,16:47:48.460,19.2428340911865,-155.404006958008,30.8700008392334,2.47,hv73313997,"9 km ENE of Pāhala, Hawaii",earthquake
2023-01-27,16:37:39.419,-23.7222,-179.4605,525.778,4.6,us6000jjsa,south of the Fiji Islands,earthquake
2023-01-27,16:34:56.920,18.1241666666667,-67.0316666666667,13.97,3.02,pr71394653,"4 km NNE of San Germán, Puerto Rico",earthquake
2023-01-27,16:33:28.276,-23.3301,-179.8864,528.172,4.5,us6000jjs9,south of the Fiji Islands,earthquake
2023-01-27,15:39:49.730,19.6534996032715,-155.964660644531,23.7199993133545,2.75,hv73313957,"3 km ENE of Kailua-Kona, Hawaii",earthquake
2023-01-27,15:13:22.160,35.7368333,-117.6218333,10.27,2.59,ci40162687,"14km NNE of Ridgecrest, CA",earthquake
2023-01-27,14:37:44.850,19.2668333333333,-66.6906666666667,83.01,3.25,pr71394633,"87 km N of Carrizales, Puerto Rico",earthquake
2023-01-27,11:06:54.630,18.7795,-64.3253,33,4.6,pr2023027001,"70 km NE of Cruz Bay, U.S. Virgin Islands",earthquake
2023-01-27,10:56:36.558,-19.7378,-69.2278,118.092,4.3,us6000jjn7,"109 km ENE of Iquique, Chile",earthquake
2023-01-27,10:51:18.438,-16.5691,-69.7504,195.543,4.5,us6000jjn6,"19 km N of Mazo Cruz, Peru",earthquake
